ID	Gene	d2.1_1	d2.2_1	d2.3_1	d30.1_1	d30.2_1	d30.3_1
P48_MYC_Codon_peg48	P48_MYC_Codon_peg48	1221	1133	118	834	1896	417
P49_MYC_Codon_peg49	P49_MYC_Codon_peg49	62	128	35	170	61	244
P50_MYC_Codon_peg50	P50_MYC_Codon_peg50	345	106	99	35	116	21
P51_MYC_Codon_peg51	P51_MYC_Codon_peg51	3368	372	236	258	524	775
P52_MYC_Codon_peg52	P52_MYC_Codon_peg52	421	300	186	144	194	25
P53_MYC_Codon_peg53	P53_MYC_Codon_peg53	893	597	163	892	80	8
P54_MYC_Codon_peg54	P54_MYC_Codon_peg54	1889	358	324	1679	774	361
P55_MYC_Codon_peg55	P55_MYC_Codon_peg55	791	467	166	686	563	1460
P56_MYC_Codon_peg56	P56_MYC_Codon_peg56	643	692	282	508	490	258
P57_MYC_Codon_peg57	P57_MYC_Codon_peg57	2142	4090	752	2224	1115	444
P58_MYC_Codon_peg58	P58_MYC_Codon_peg58	6561	4746	883	4643	3501	1846
P59_MYC_Codon_peg59	P59_MYC_Codon_peg59	1670	3434	840	4091	2616	2868
P60_MYC_Codon_peg60	P60_MYC_Codon_peg60	545	604	77	407	1201	1044
P61_MYC_Codon_peg61	P61_MYC_Codon_peg61	2431	3189	3258	6430	2027	2420
P62_MYC_Codon_peg62	P62_MYC_Codon_peg62	240	524	62	817	854	219
P63_MYC_Codon_peg63	P63_MYC_Codon_peg63	1309	2953	483	1852	2189	2040
P64_MYC_Codon_peg64	P64_MYC_Codon_peg64	35	159	23	0	0	97
P65_MYC_Codon_peg65	P65_MYC_Codon_peg65	1158	174	458	164	7	4
P66_MYC_Codon_peg66	P66_MYC_Codon_peg66	161	414	129	308	441	124
P67_MYC_Codon_peg67	P67_MYC_Codon_peg67	20	66	40	157	24	46
P68_MYC_Codon_peg68	P68_MYC_Codon_peg68	6330	11921	2334	16379	14375	7362
P69_MYC_Codon_peg69	P69_MYC_Codon_peg69	2172	4901	1112	3826	2125	1901
P70_MYC_Codon_peg70	P70_MYC_Codon_peg70	5108	7100	1254	12738	7823	10494
P71_MYC_Codon_peg71	P71_MYC_Codon_peg71	174	218	103	526	435	45
P72_MYC_Codon_peg72	P72_MYC_Codon_peg72	1253	606	361	712	670	242
P73_MYC_Codon_peg73	P73_MYC_Codon_peg73	474	82	118	1372	490	195
P74_MYC_Codon_peg74	P74_MYC_Codon_peg74	91	129	39	514	66	134
P75_MYC_Codon_peg75	P75_MYC_Codon_peg75	1214	1268	168	3654	3404	3214
P76_MYC_Codon_peg76	P76_MYC_Codon_peg76	218	514	44	685	936	647
P77_MYC_Codon_peg77	P77_MYC_Codon_peg77	1708	2681	1107	6065	5081	3662
P78_MYC_Codon_peg78	P78_MYC_Codon_peg78	944	1615	148	2012	956	1228
P79_MYC_Codon_peg79	P79_MYC_Codon_peg79	2059	1534	485	2293	4715	629
P80_MYC_Codon_peg80	P80_MYC_Codon_peg80	662	2524	1476	1950	1219	816
P81_MYC_Codon_peg81	P81_MYC_Codon_peg81	115	746	106	276	1091	298
P82_MYC_Codon_peg82	P82_MYC_Codon_peg82	2903	4842	724	5482	3174	2861
P83_MYC_Codon_peg83	P83_MYC_Codon_peg83	174	768	89	1005	601	354
P84_MYC_Codon_peg84	P84_MYC_Codon_peg84	577	2050	518	1729	1254	821
P86_MYC_Codon_peg86	P86_MYC_Codon_peg86	3195	1562	240	1991	4383	2573
P87_MYC_Codon_peg87	P87_MYC_Codon_peg87	1294	1666	766	2298	1316	780
P88_MYC_Codon_peg88	P88_MYC_Codon_peg88	1880	1868	702	3060	4305	2115
P89_MYC_Codon_peg89	P89_MYC_Codon_peg89	5065	12320	2161	17719	13330	12140
P90_MYC_Codon_peg90	P90_MYC_Codon_peg90	7094	3869	1588	4771	3324	4108
P91_MYC_Codon_peg91	P91_MYC_Codon_peg91	2183	3937	1166	7607	4018	4018
P92_MYC_Codon_peg92	P92_MYC_Codon_peg92	1742	4019	612	5216	2766	2840
P93_MYC_Codon_peg93	P93_MYC_Codon_peg93	2358	2591	627	5931	4688	3238
P94_MYC_Codon_peg94	P94_MYC_Codon_peg94	2400	4649	1738	8897	7099	5646
P95_MYC_Codon_peg95	P95_MYC_Codon_peg95	1151	964	296	2683	2102	4880
P96_MYC_Codon_peg96	P96_MYC_Codon_peg96	1868	2310	437	4860	2563	4545
P97_MYC_Codon_peg97	P97_MYC_Codon_peg97	856	1587	253	2678	1710	1926
P98_MYC_Codon_peg98	P98_MYC_Codon_peg98	6328	6466	774	4250	3874	6147
P99_AAVS1_peg1_CtoA	P99_AAVS1_peg1_CtoA	1742	3426	621	5575	5005	2248
P100_AAVS1_peg1_CtoT	P100_AAVS1_peg1_CtoT	2277	2806	494	5483	4867	3660
P101_AAVS1_peg1_CtoG	P101_AAVS1_peg1_CtoG	3339	6504	1084	10948	6048	6664
P102_AAVS1_peg2_TtoA	P102_AAVS1_peg2_TtoA	3063	4356	507	4482	2303	5816
P103_AAVS1_peg2_TtoC	P103_AAVS1_peg2_TtoC	1873	3714	1330	4859	4924	4057
P104_AAVS1_peg2_TtoG	P104_AAVS1_peg2_TtoG	5874	9065	1757	10772	10456	11886
P105_AAVS1_peg3_CtoA	P105_AAVS1_peg3_CtoA	1809	3694	460	4455	3701	3338
P106_AAVS1_peg3_CtoT	P106_AAVS1_peg3_CtoT	1412	2237	499	5172	1901	2507
P107_AAVS1_peg3_CtoG	P107_AAVS1_peg3_CtoG	7052	7132	1920	14700	8266	6448
P108_AAVS1_peg4_TtoA	P108_AAVS1_peg4_TtoA	1524	1919	896	2681	878	742
P109_AAVS1_peg4_TtoC	P109_AAVS1_peg4_TtoC	1241	1160	3155	1174	1260	2365
P110_AAVS1_peg4_TtoG	P110_AAVS1_peg4_TtoG	430	328	59	282	217	23
P111_AAVS1_peg5_CtoA	P111_AAVS1_peg5_CtoA	6900	2762	129	408	105	114
P112_AAVS1_peg5_CtoT	P112_AAVS1_peg5_CtoT	311	46	17	655	0	4
P113_AAVS1_peg5_CtoG	P113_AAVS1_peg5_CtoG	959	1003	192	1355	48	330
P114_AAVS1_peg6_CtoA	P114_AAVS1_peg6_CtoA	2866	2907	1018	3116	8094	893
P115_AAVS1_peg6_CtoT	P115_AAVS1_peg6_CtoT	4270	5521	855	3326	2067	1202
P116_AAVS1_peg6_CtoG	P116_AAVS1_peg6_CtoG	4567	2561	1215	3439	4508	927
P117_AAVS1_peg7_TtoA	P117_AAVS1_peg7_TtoA	572	2187	737	3103	3396	3911
P118_AAVS1_peg7_TtoC	P118_AAVS1_peg7_TtoC	2493	2573	1227	6462	3398	7299
P119_AAVS1_peg7_TtoG	P119_AAVS1_peg7_TtoG	4945	8619	1071	13915	7628	6430
P120_AAVS1_peg8_CtoA	P120_AAVS1_peg8_CtoA	4207	8471	1959	10356	11053	8864
P121_AAVS1_peg8_CtoT	P121_AAVS1_peg8_CtoT	5501	7551	1046	9345	4574	5430
P122_AAVS1_peg8_CtoG	P122_AAVS1_peg8_CtoG	3777	3898	1041	9240	9021	5652
P123_AAVS1_peg9_CtoA	P123_AAVS1_peg9_CtoA	7349	9080	3232	15623	11979	15196
P124_AAVS1_peg9_CtoT	P124_AAVS1_peg9_CtoT	5980	7745	1204	6870	9003	5003
P125_AAVS1_peg9_CtoG	P125_AAVS1_peg9_CtoG	2322	3425	512	5406	1855	4348
P126_AAVS1_peg10_TtoA	P126_AAVS1_peg10_TtoA	7922	5967	968	2127	2528	3036
P127_AAVS1_peg10_TtoC	P127_AAVS1_peg10_TtoC	9832	6837	1533	4524	5366	1320
P128_AAVS1_peg10_TtoG	P128_AAVS1_peg10_TtoG	2086	4572	1144	3503	3325	3599
P129_AAVS1_peg11_TtoA	P129_AAVS1_peg11_TtoA	1451	1371	719	1737	1272	725
P130_AAVS1_peg11_TtoC	P130_AAVS1_peg11_TtoC	1362	1301	632	2064	1069	698
P131_AAVS1_peg11_TtoG	P131_AAVS1_peg11_TtoG	1390	1502	452	1906	833	2197
P132_AAVS1_peg12_CtoA	P132_AAVS1_peg12_CtoA	208	1577	544	1414	603	1859
P133_AAVS1_peg12_CtoT	P133_AAVS1_peg12_CtoT	906	1165	169	934	612	373
P134_AAVS1_peg12_CtoG	P134_AAVS1_peg12_CtoG	3460	3851	980	3778	4797	3274
P135_AAVS1_peg13_GtoA	P135_AAVS1_peg13_GtoA	8277	10899	1573	12275	11504	6841
P136_AAVS1_peg13_GtoT	P136_AAVS1_peg13_GtoT	1034	2572	251	3595	2701	1517
P137_AAVS1_peg13_GtoC	P137_AAVS1_peg13_GtoC	3096	6173	1238	8783	6399	8049
P138_AAVS1_peg14_CtoA	P138_AAVS1_peg14_CtoA	9002	9457	3448	10936	17836	9366
P139_AAVS1_peg14_CtoT	P139_AAVS1_peg14_CtoT	6039	5929	652	5724	11110	6017
P140_AAVS1_peg14_CtoG	P140_AAVS1_peg14_CtoG	3921	8444	1288	8411	4465	5887
P141_AAVS1_peg15_CtoA	P141_AAVS1_peg15_CtoA	807	2645	648	1722	2807	811
P142_AAVS1_peg15_CtoT	P142_AAVS1_peg15_CtoT	535	1001	567	2257	1361	965
P143_AAVS1_peg15_CtoG	P143_AAVS1_peg15_CtoG	1305	3820	945	4557	1082	2694
P144_AAVS1_peg16_CtoA	P144_AAVS1_peg16_CtoA	1675	3266	679	4333	6887	2691
P145_AAVS1_peg16_CtoT	P145_AAVS1_peg16_CtoT	3689	5058	911	6959	4817	4511
P146_AAVS1_peg16_CtoG	P146_AAVS1_peg16_CtoG	4333	6529	1951	5670	8106	5746
P147_AAVS1_peg17_GtoA	P147_AAVS1_peg17_GtoA	2842	2001	854	3146	2022	1068
P148_AAVS1_peg17_GtoT	P148_AAVS1_peg17_GtoT	2345	3333	326	1511	840	528
P149_AAVS1_peg17_GtoC	P149_AAVS1_peg17_GtoC	5253	3358	992	3045	2373	1254
P150_AAVS1_peg18_TtoA	P150_AAVS1_peg18_TtoA	1690	752	384	362	780	163
P151_AAVS1_peg18_TtoC	P151_AAVS1_peg18_TtoC	1531	2080	1380	5809	2056	734
P152_AAVS1_peg18_TtoG	P152_AAVS1_peg18_TtoG	2115	4978	875	2620	5915	771
P153_AAVS1_peg20_CtoA	P153_AAVS1_peg20_CtoA	21354	16084	1547	16886	13137	10329
P154_AAVS1_peg20_CtoT	P154_AAVS1_peg20_CtoT	797	3240	1365	3180	3357	1317
P155_AAVS1_peg20_CtoG	P155_AAVS1_peg20_CtoG	2094	5044	1126	3341	3619	1865
P156_AAVS1_peg21_CtoA	P156_AAVS1_peg21_CtoA	3786	3537	1252	3396	3488	2032
P157_AAVS1_peg21_CtoT	P157_AAVS1_peg21_CtoT	747	1712	307	1656	1892	1355
P158_AAVS1_peg21_CtoG	P158_AAVS1_peg21_CtoG	1685	6055	788	5739	4456	3141
P159_AAVS1_peg22_TtoA	P159_AAVS1_peg22_TtoA	3712	7787	958	9389	10844	4322
P160_AAVS1_peg22_TtoC	P160_AAVS1_peg22_TtoC	5578	9222	2247	12710	6016	3603
P161_AAVS1_peg22_TtoG	P161_AAVS1_peg22_TtoG	6208	9113	1597	11471	9327	6800
P162_AAVS1_peg23_CtoA	P162_AAVS1_peg23_CtoA	1800	3490	427	4268	1862	3523
P163_AAVS1_peg23_CtoT	P163_AAVS1_peg23_CtoT	2725	4859	1068	6254	3209	3704
P164_AAVS1_peg23_CtoG	P164_AAVS1_peg23_CtoG	8750	7118	2890	9370	8119	5350
P165_AAVS1_peg24_GtoA	P165_AAVS1_peg24_GtoA	1703	3015	706	4497	2339	2895
P166_AAVS1_peg24_GtoT	P166_AAVS1_peg24_GtoT	786	2320	675	1744	5713	1257
P167_AAVS1_peg24_GtoC	P167_AAVS1_peg24_GtoC	3403	5838	2128	7966	4476	3461
P168_AAVS1_peg25_AtoT	P168_AAVS1_peg25_AtoT	2826	3007	896	2389	4774	3736
P169_AAVS1_peg25_AtoC	P169_AAVS1_peg25_AtoC	949	2041	475	565	872	3073
P170_AAVS1_peg25_AtoG	P170_AAVS1_peg25_AtoG	333	1352	424	1299	1288	683
P171_AAVS1_peg26_CtoA	P171_AAVS1_peg26_CtoA	483	2815	167	1514	247	129
P172_AAVS1_peg26_CtoT	P172_AAVS1_peg26_CtoT	91	98	189	324	304	1658
P173_AAVS1_peg26_CtoG	P173_AAVS1_peg26_CtoG	958	2820	357	1867	2538	243
P174_AAVS1_peg27_CtoA	P174_AAVS1_peg27_CtoA	1357	2766	185	6377	3215	2553
P175_AAVS1_peg27_CtoT	P175_AAVS1_peg27_CtoT	3834	4462	1165	5407	4581	3193
P176_AAVS1_peg27_CtoG	P176_AAVS1_peg27_CtoG	2230	6261	591	4916	3330	2940
P177_AAVS1_peg28_CtoA	P177_AAVS1_peg28_CtoA	3305	5166	1839	10995	4484	4999
P178_AAVS1_peg28_CtoT	P178_AAVS1_peg28_CtoT	13291	8330	2785	12514	10759	8136
P179_AAVS1_peg28_CtoG	P179_AAVS1_peg28_CtoG	4053	3462	362	6746	1901	2326
P180_AAVS1_peg29_TtoA	P180_AAVS1_peg29_TtoA	5283	11395	3832	9382	6605	7121
P181_AAVS1_peg29_TtoC	P181_AAVS1_peg29_TtoC	7968	7290	1143	8900	7618	5154
P182_AAVS1_peg29_TtoG	P182_AAVS1_peg29_TtoG	1831	2543	890	4284	2177	4613
P183_AAVS1_peg30_TtoA	P183_AAVS1_peg30_TtoA	3118	3531	618	6466	7789	2075
P184_AAVS1_peg30_TtoC	P184_AAVS1_peg30_TtoC	3895	10207	1358	8699	5063	4456
P185_AAVS1_peg30_TtoG	P185_AAVS1_peg30_TtoG	9055	15640	4198	15813	11600	9538
P186_AAVS1_peg31_AtoT	P186_AAVS1_peg31_AtoT	2268	2784	503	925	1641	724
P187_AAVS1_peg31_AtoC	P187_AAVS1_peg31_AtoC	613	1439	2052	1762	3367	773
P188_AAVS1_peg31_AtoG	P188_AAVS1_peg31_AtoG	2669	682	1862	2774	700	396
P189_AAVS1_peg32_GtoA	P189_AAVS1_peg32_GtoA	1138	3460	426	1319	3785	5240
P190_AAVS1_peg32_GtoT	P190_AAVS1_peg32_GtoT	1898	3047	505	2702	2923	1700
P191_AAVS1_peg32_GtoC	P191_AAVS1_peg32_GtoC	2534	4127	897	3662	2092	2831
P192_AAVS1_peg33_CtoA	P192_AAVS1_peg33_CtoA	2386	3590	642	5537	2170	2031
P193_AAVS1_peg33_CtoT	P193_AAVS1_peg33_CtoT	6176	8831	1192	9901	8645	4546
P194_AAVS1_peg33_CtoG	P194_AAVS1_peg33_CtoG	4219	7492	1596	8692	7136	5143
P195_AAVS1_peg34_CtoA	P195_AAVS1_peg34_CtoA	933	1753	338	1279	1128	2432
P196_AAVS1_peg34_CtoT	P196_AAVS1_peg34_CtoT	1885	1078	350	4296	498	531
P197_AAVS1_peg34_CtoG	P197_AAVS1_peg34_CtoG	2691	5614	871	3196	1417	2064
P198_AAVS1_peg35_CtoA	P198_AAVS1_peg35_CtoA	1240	2006	384	4049	4108	4484
P199_AAVS1_peg35_CtoT	P199_AAVS1_peg35_CtoT	6104	6045	1305	10169	8533	8382
P200_AAVS1_peg35_CtoG	P200_AAVS1_peg35_CtoG	1507	2825	511	2852	1505	2689
P201_AAVS1_peg36_CtoA	P201_AAVS1_peg36_CtoA	3466	5632	1137	6219	5103	8630
P202_AAVS1_peg36_CtoT	P202_AAVS1_peg36_CtoT	2011	3595	576	5075	5055	5889
P203_AAVS1_peg36_CtoG	P203_AAVS1_peg36_CtoG	4532	5183	1056	9732	7932	4127
P204_AAVS1_peg37_GtoA	P204_AAVS1_peg37_GtoA	732	3693	400	3080	2208	1076
P205_AAVS1_peg37_GtoT	P205_AAVS1_peg37_GtoT	563	602	221	287	15	1077
P206_AAVS1_peg37_GtoC	P206_AAVS1_peg37_GtoC	1452	1946	653	3828	2414	3294
P207_AAVS1_peg38_TtoA	P207_AAVS1_peg38_TtoA	411	110	333	532	359	152
P208_AAVS1_peg38_TtoC	P208_AAVS1_peg38_TtoC	140	679	369	480	547	338
P209_AAVS1_peg38_TtoG	P209_AAVS1_peg38_TtoG	411	221	67	57	439	104
P210_AAVS1_peg39_TtoA	P210_AAVS1_peg39_TtoA	1035	567	290	2429	645	822
P211_AAVS1_peg39_TtoC	P211_AAVS1_peg39_TtoC	1684	704	59	849	1845	1909
P212_AAVS1_peg39_TtoG	P212_AAVS1_peg39_TtoG	367	280	34	668	431	216
P213_AAVS1_peg40_GtoA	P213_AAVS1_peg40_GtoA	348	677	181	1284	544	573
P214_AAVS1_peg40_GtoT	P214_AAVS1_peg40_GtoT	1730	1226	298	410	371	131
P215_AAVS1_peg40_GtoC	P215_AAVS1_peg40_GtoC	600	221	172	361	185	172
P216_AAVS1_peg41_TtoA	P216_AAVS1_peg41_TtoA	267	22	4	7	0	14
P217_AAVS1_peg41_TtoC	P217_AAVS1_peg41_TtoC	703	1740	5	462	6	3078
P218_AAVS1_peg41_TtoG	P218_AAVS1_peg41_TtoG	773	779	23	4	9	9
P219_AAVS1_peg42_AtoT	P219_AAVS1_peg42_AtoT	1458	1744	993	1047	1624	1855
P220_AAVS1_peg42_AtoC	P220_AAVS1_peg42_AtoC	1738	2063	299	430	793	667
P221_AAVS1_peg42_AtoG	P221_AAVS1_peg42_AtoG	642	396	232	546	407	246
P222_AAVS1_peg43_AtoT	P222_AAVS1_peg43_AtoT	975	1820	480	2317	3648	450
P223_AAVS1_peg43_AtoC	P223_AAVS1_peg43_AtoC	508	2760	405	1997	1342	1852
P224_AAVS1_peg43_AtoG	P224_AAVS1_peg43_AtoG	1322	748	299	513	3354	414
P225_AAVS1_peg44_TtoA	P225_AAVS1_peg44_TtoA	1753	3634	699	2502	2971	1731
P226_AAVS1_peg44_TtoC	P226_AAVS1_peg44_TtoC	1492	1794	260	2045	642	860
P227_AAVS1_peg44_TtoG	P227_AAVS1_peg44_TtoG	857	1171	158	1842	630	1080
P228_AAVS1_peg45_GtoA	P228_AAVS1_peg45_GtoA	1029	3577	452	3058	230	115
P229_AAVS1_peg45_GtoT	P229_AAVS1_peg45_GtoT	11283	3546	884	3629	961	2169
P230_AAVS1_peg45_GtoC	P230_AAVS1_peg45_GtoC	4394	2259	389	1284	2486	2757
P231_AAVS1_peg46_CtoA	P231_AAVS1_peg46_CtoA	4311	6069	1237	8817	8071	5880
P232_AAVS1_peg46_CtoT	P232_AAVS1_peg46_CtoT	3206	8186	1600	5710	9634	7327
P233_AAVS1_peg46_CtoG	P233_AAVS1_peg46_CtoG	2651	3389	785	7410	5753	2869
P234_AAVS1_peg47_AtoT	P234_AAVS1_peg47_AtoT	8570	2571	774	3259	1038	401
P235_AAVS1_peg47_AtoC	P235_AAVS1_peg47_AtoC	1876	1984	526	1429	1529	1959
P236_AAVS1_peg47_AtoG	P236_AAVS1_peg47_AtoG	831	368	256	425	182	189
P237_AAVS1_peg48_CtoA	P237_AAVS1_peg48_CtoA	3864	1478	280	1133	1960	178
P238_AAVS1_peg48_CtoT	P238_AAVS1_peg48_CtoT	2349	751	417	632	3659	2428
P239_AAVS1_peg48_CtoG	P239_AAVS1_peg48_CtoG	678	1463	414	589	1715	162
P240_AAVS1_peg49_CtoA	P240_AAVS1_peg49_CtoA	698	55	348	125	1943	485
P241_AAVS1_peg49_CtoT	P241_AAVS1_peg49_CtoT	706	805	150	48	21	30
P242_AAVS1_peg49_CtoG	P242_AAVS1_peg49_CtoG	689	58	123	624	717	210
P243_AAVS1_peg50_CtoA	P243_AAVS1_peg50_CtoA	1083	803	178	1469	366	471
P244_AAVS1_peg50_CtoT	P244_AAVS1_peg50_CtoT	1501	1316	556	1948	1516	569
P245_AAVS1_peg50_CtoG	P245_AAVS1_peg50_CtoG	1560	1220	734	2270	1117	1104
P246_AAVS1_peg51_CtoA	P246_AAVS1_peg51_CtoA	735	4615	640	3352	1513	4678
P247_AAVS1_peg51_CtoT	P247_AAVS1_peg51_CtoT	1784	3965	1347	3516	2081	1656
P248_AAVS1_peg51_CtoG	P248_AAVS1_peg51_CtoG	6279	3535	2375	6726	3433	2960
P249_AAVS1_peg52_CtoA	P249_AAVS1_peg52_CtoA	1443	2146	935	5345	4379	2775
P250_AAVS1_peg52_CtoT	P250_AAVS1_peg52_CtoT	3248	5750	1747	12554	6775	3438
P251_AAVS1_peg52_CtoG	P251_AAVS1_peg52_CtoG	3590	6074	2177	8499	7627	4429
P252_Non_target_peg1	P252_Non_target_peg1	5673	6372	1448	8638	7734	5501
P253_Non_target_peg2	P253_Non_target_peg2	1608	3179	485	3575	7343	2248
P254_Non_target_peg4	P254_Non_target_peg4	1211	2872	600	4667	5035	2064
P255_Non_target_peg5	P255_Non_target_peg5	2159	2839	449	2973	6579	3005
P256_Non_target_peg6	P256_Non_target_peg6	6619	2715	546	3139	1319	1859
P257_Non_target_peg7	P257_Non_target_peg7	2159	4327	757	6244	3073	5711
P258_Non_target_peg8	P258_Non_target_peg8	2416	4081	1293	8286	5563	6153
P259_Non_target_peg9	P259_Non_target_peg9	3506	2313	453	5514	5245	6363
P260_Non_target_peg10	P260_Non_target_peg10	2134	2206	1050	4553	3888	2843
P261_Non_target_peg11	P261_Non_target_peg11	2926	4782	339	4335	3165	2698
P262_Non_target_peg12	P262_Non_target_peg12	2445	5601	837	6239	5738	6854
P263_Non_target_peg13	P263_Non_target_peg13	7195	7597	1552	14191	11336	11211
P264_Non_target_peg14	P264_Non_target_peg14	1051	1765	497	3579	2104	2212
P265_Non_target_peg15	P265_Non_target_peg15	589	1408	181	2579	1338	1305
P266_Non_target_peg16	P266_Non_target_peg16	1142	2255	283	1375	994	2650
P267_Non_target_peg17	P267_Non_target_peg17	2049	2926	468	5446	5173	3248
P268_Non_target_peg18	P268_Non_target_peg18	2344	3223	1302	5037	10481	4500
P269_Non_target_peg19	P269_Non_target_peg19	515	1082	85	1139	292	697
P270_Non_target_peg20	P270_Non_target_peg20	987	2151	328	5132	4100	2574
P271_Non_target_peg21	P271_Non_target_peg21	3155	7225	1461	9801	5686	10184
P272_Non_target_peg22	P272_Non_target_peg22	1681	3851	576	3085	4253	3746
P273_Non_target_peg23	P273_Non_target_peg23	324	444	61	713	795	437
P274_Non_target_peg24	P274_Non_target_peg24	3595	4311	445	9180	2238	4265
P275_Non_target_peg25	P275_Non_target_peg25	596	2399	171	3397	2385	1631
P276_Non_target_peg27	P276_Non_target_peg27	1478	1619	346	1448	724	2805
P277_Non_target_peg28	P277_Non_target_peg28	1977	3828	456	4529	4588	4121
P278_Non_target_peg29	P278_Non_target_peg29	1537	2866	1116	7936	5287	4769
P279_Non_target_peg30	P279_Non_target_peg30	289	609	162	2143	964	679
P280_Non_target_peg31	P280_Non_target_peg31	809	2030	190	2673	2091	1298
P281_Non_target_peg32	P281_Non_target_peg32	2184	2783	666	4216	3499	2631
P282_Non_target_peg33	P282_Non_target_peg33	1271	2096	396	3366	3521	2031
P283_Non_target_peg34	P283_Non_target_peg34	3251	4795	992	8458	4415	3986
P284_Non_target_peg35	P284_Non_target_peg35	1263	1655	758	4511	2221	2662
P285_Non_target_peg36	P285_Non_target_peg36	1021	1444	198	3089	2664	668
P286_Non_target_peg38	P286_Non_target_peg38	2077	2126	438	4925	4521	2812
P287_Non_target_peg39	P287_Non_target_peg39	1367	1540	518	1850	862	2123
P288_Non_target_peg40	P288_Non_target_peg40	1631	4546	1662	4077	2261	2523
P289_Non_target_peg41	P289_Non_target_peg41	2861	3699	762	6002	4502	4886
P290_Non_target_peg42	P290_Non_target_peg42	2705	2924	534	5713	4460	4516
P291_Non_target_peg43	P291_Non_target_peg43	350	676	17	1232	740	854
P292_Non_target_peg44	P292_Non_target_peg44	1856	3365	391	3243	2032	2403
